"Potential (mV)","tau (ms)","SE","group","tau type"
0, 21.9941,7.3705,"WT","activation"
5,17.2809,3.045,"WT","activation"
10,11.9631,1.8886,"WT","activation"
15,6.1667,1.0859,"WT","activation"
20,5.5252,0.7765,"WT","activation"
25,4.6552,0.6824,"WT","activation"
30,3.0204,0.313,"WT","activation"
35,2.321,0.1764,"WT","activation"
40,1.8856,0.1242,"WT","activation"
45,1.6729,0.0856,"WT","activation"
-20,29.2005,13.3233,"C125Y","activation"
-15,16.9947,4.5624,"C125Y","activation"
-10,8.8325,1.9657,"C125Y","activation"
-5,4.4789,0.4375,"C125Y","activation"
0,4.0518,0.8498,"C125Y","activation"
5,4.3464,1.4069,"C125Y","activation"
10,2.7379,0.5016,"C125Y","activation"
15,2.0264,0.2178,"C125Y","activation"
20,1.7222,0.1477,"C125Y","activation"
25,1.509,0.1072,"C125Y","activation"
30,1.4091,0.0901,"C125Y","activation"
35,1.2461,0.0643,"C125Y","activation"
40,1.1832,0.0534,"C125Y","activation"
45,1.14,0.0543,"C125Y","activation"
-80,1.5672,0.0578,"WT","deactivation"
-75,2.1584,0.09,"WT","deactivation"
-70,2.4697,0.1028,"WT","deactivation"
-65,2.8718,0.113,"WT","deactivation"
-60,3.6539,0.1171,"WT","deactivation"
-55,4.2303,0.1149,"WT","deactivation"
-50,5.2218,0.1369,"WT","deactivation"
-45,6.1949,0.2571,"WT","deactivation"
-40,7.6197,0.3129,"WT","deactivation"
-35,9.6015,0.385,"WT","deactivation"
-30,11.9454,0.5915,"WT","deactivation"
-25,14.412,0.963,"WT","deactivation"
-20,17.2548,1.0884,"WT","deactivation"
-15,20.8333,1.4002,"WT","deactivation"
-10,24.1103,1.8285,"WT","deactivation"
-5,25.4259,1.7533,"WT","deactivation"
0,27.0529,1.4482,"WT","deactivation"
5,25.5758,1.1048,"WT","deactivation"
10,27.9135,1.1255,"WT","deactivation"
15,27.635,1.5498,"WT","deactivation"
20,30.7872,3.877,"WT","deactivation"
25,32.7372,4.1083,"WT","deactivation"
30,33.8866,4.1783,"WT","deactivation"
-80,7.8972,0.4094,"C125Y","deactivation"
-75,9.249,0.4951,"C125Y","deactivation"
-70,10.7559,0.4989,"C125Y","deactivation"
-65,13.9593,0.5447,"C125Y","deactivation"
-60,17.3711,0.9095,"C125Y","deactivation"
-55,22.1347,1.412,"C125Y","deactivation"
-50,27.064,2.9819,"C125Y","deactivation"
-45,32.4848,4.4958,"C125Y","deactivation"
-40,35.4971,4.6478,"C125Y","deactivation"
-35,35.6198,3.6527,"C125Y","deactivation"
-30,36.2914,4.3159,"C125Y","deactivation"
-25,39.3223,4.9892,"C125Y","deactivation"
-20,38.5153,5.3378,"C125Y","deactivation"
-15,41.6516,7.3059,"C125Y","deactivation"
-10,41.1355,8.2542,"C125Y","deactivation"
-5,46.2202,11.129,"C125Y","deactivation"
0,41.1067,7.2376,"C125Y","deactivation"
5,45.9804,10.383,"C125Y","deactivation"
10,42.6566,10.034,"C125Y","deactivation"
15,52.7966,12.42,"C125Y","deactivation"
20,52.401,14.826,"C125Y","deactivation"
25,66.2599,17.736,"C125Y","deactivation"
30,76.6376,16.535,"C125Y","deactivation"
